index,Breteau,Aeg_aed_index,Res_index,Contain_index,Larvae_index,number,travel,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,UVB,WIND_SPE
2005-10,1.4871794871794872,0.009743589743589746,1.5384615384615385,2.324706459205128,15.846153846153847,0.0,0.0,53710.01,1191.271,1490.23,229.785,24670.39,59262.86,83933.6,44628.1,178303.0,95307.0,197.2,136157.45,20731.2,1421.074,152.0,4038.57
2005-11,2.3333333333333335,0.02333333333333333,2.111111111111111,3.4050509216111116,38.888888888888886,0.0,0.0,32959.51,1234.131,1792.5,269.889,23587.89,64819.07,88407.03,67071.7,277692.0,131294.0,1.2,139997.23,25277.1,1504.007,169.5,3680.69
2005-13,3.5384615384615383,0.008461538461538461,1.0,5.0140691061923075,7.461538461538462,0.0,0.0,57583.59,1124.966,1335.87,207.902,19525.92,49348.5,68874.95,52936.8,142121.0,74474.0,102.6,146081.48,23208.3,1332.848,236.2,4680.96
2005-14,1.0,0.021333333333333336,0.8666666666666667,1.7697013009333333,14.133333333333333,1.0,0.0,54008.64,1189.927,1101.63,141.589,11531.07,38537.47,50068.45,56204.5,169800.0,73301.0,115.8,136098.3,19887.1,1331.514,266.5,4518.71
2005-15,2.132105325142857,0.010973764964285714,1.9502871434642854,1.8946046311428568,30.787042411249995,0.0,0.0,55734.13,1238.939,1561.27,205.195,19346.43,52728.19,72074.6,70654.8,201684.0,101087.0,24.6,144244.66,23087.0,1444.128,185.0,3887.65
2005-17,2.5050505050555554,0.015411810388888888,2.2785547785555553,2.2286210795,42.51126651116667,0.0,0.0,57432.4,920.391,944.6,105.742,13107.39,32212.79,45320.07,50223.9,118035.0,51302.0,318.6,144281.77,15097.899,1026.128,281.0,3758.43
2005-18,2.4214957215,0.023276016264705882,2.019719916852941,2.1851812879999994,39.08016346967647,2.0,1.0,58309.43,991.53204,853.83,153.863,13796.8,29217.93,43015.1,41116.1,94914.0,42387.0,2847.8,144106.53,16209.3,1145.402,284.9,3890.4102
2005-19,3.1255404726,0.014576671700000004,2.4601809954666667,2.1274832024,51.172297636,0.0,0.0,60035.68,925.161,783.68,161.783,15204.68,27068.89,42273.28,38146.1,58088.0,21595.0,17411.0,150322.36,14010.9,1086.939,306.8,3690.4001
2005-21,6.3454545455,0.017734369200000002,6.1341337908,5.513781049,77.706346484,0.0,0.0,54021.38,1042.563,768.97,98.257,10706.88,29665.95,40372.87,64094.3,81089.0,39589.0,3801.8,144446.45,16104.6,1140.822,338.3,3974.23
2005-22,3.837979139185185,0.013249475925925926,2.9532831224074076,3.3152443731111108,57.53365944555555,0.0,0.0,35907.93,1168.819,1093.6901,163.773,18136.32,36209.15,54345.55,48379.4,76401.0,44762.0,17765.8,157873.36,13780.9,1332.579,168.1,3415.78
2005-23,9.3581216609,0.029747889099999997,7.106702798333332,7.729100731733333,192.49482794899998,1.0,0.0,59985.832,1099.247,843.23,126.099,8600.82,29073.59,37674.5,72358.1,108961.0,61055.0,20737.0,145211.1,12836.3,1225.328,246.90001,3985.42
2005-24,6.55763844,0.007087912071428571,4.986209868571429,5.317502095928572,102.312217195,0.0,0.0,60783.332,885.408,774.76,116.266,16108.34,25770.549,41878.82,34783.8,57169.0,31497.0,31342.0,162427.7,12147.3,1001.674,181.4,4567.34
2005-26,12.172905525863637,0.02454545454545454,9.7201426025,11.17134263631818,165.20499108636363,2.0,0.0,51415.16,1150.697,743.58,184.7,17033.9,26617.15,43650.96,31939.0,89381.0,45710.0,7017.2,144999.3,18213.701,1335.397,329.3,4482.95
2005-27,8.346895024152543,0.02799313894915255,7.363844176694916,6.921187930593222,117.55077692932204,0.0,0.0,57074.47,1107.319,561.14,172.099,11393.94,19726.42,31120.32,32170.2,86185.0,36087.0,320.2,138764.5,17392.6,1279.427,385.1,5256.34
2005-28,6.496732026166666,0.043333333333333335,6.663398692833333,5.488260455583333,97.79084967333334,1.0,0.0,58474.96,945.679,623.05,133.008,8970.9795,22687.55,31658.32,38835.5,91915.0,49847.0,1159.2,141448.1,11847.2,1078.713,321.2,4025.98
2005-29,12.666666666666666,0.015555555555555553,10.333333333333334,9.310978580999999,308.22222222222223,0.0,0.0,57604.2,1002.924,939.13,171.296,9894.61,33332.4,43227.13,53919.7,102923.0,51868.0,61420.2,158752.7,11586.8,1174.225,130.2,5814.77
2005-30,9.218620336216667,0.048527704233333344,8.091068802966666,6.706989380066665,178.006210572,0.0,0.0,59517.91,1187.189,773.89,159.84,11388.92,30039.56,41428.61,54105.6,120807.0,67839.0,2193.0,141921.97,17110.6,1347.037,331.3,4181.49
2005-31,9.333333333333334,0.03416666666666668,8.0,7.423521448500002,154.83333333333334,0.0,0.0,56351.68,872.093,518.66,102.509,9435.93,20950.78,30386.73,43335.1,107603.0,54800.0,711.0,150405.39,11839.2,974.609,264.4,6402.6
2005-32,7.241379310344827,0.0317241379310345,6.551724137931035,5.479714126137932,134.0344827586207,0.0,0.0,56111.81,1087.612,852.69,152.327,12240.47,30430.85,42671.26,46278.9,98385.0,54557.0,5894.0,151642.84,18359.4,1239.929,214.4,5008.98
